Distrito,Cluster,OLT,F,S,P,Cuenta,Código QR,Capacidad,Latitud,Longitud,NOMBRE_SPLITTER,Ubicacion
COACALCO,COACALCO,COACALCO_DF,0,1,1,0104216345,TP537754,1:16,19.625469279346984,-99.09500330686569,TP537754,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,1,0102365627,TP537754,1:16,19.625469279346984,-99.09500330686569,TP537754,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,1,0142985119,TP537754,1:16,19.625469279346984,-99.09500330686569,TP537754,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,1,0104366908,TP537754,1:16,19.625469279346984,-99.09500330686569,TP537754,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,1,0104134308,TP537754,1:16,19.625469279346984,-99.09500330686569,TP537754,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,1,0106887652,TP537754,1:16,19.625469279346984,-99.09500330686569,TP537754,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,1,0140125318,TP537754,1:16,19.625469279346984,-99.09500330686569,TP537754,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,1,0107263372,TP537754,1:16,19.625469279346984,-99.09500330686569,TP537754,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,1,0107254189,TP537754,1:16,19.625469279346984,-99.09500330686569,TP537754,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,1,0102815767,TP631898,1:16,19.629712619148588,-99.09310933202505,TP631898,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,1,0114399425,TP631898,1:16,19.629712619148588,-99.09310933202505,TP631898,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,1,0134360573,TP631898,1:16,19.629712619148588,-99.09310933202505,TP631898,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,1,0104569395,TP631898,1:16,19.629712619148588,-99.09310933202505,TP631898,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,1,0109083856,TP631898,1:16,19.629712619148588,-99.09310933202505,TP631898,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,1,0141620419,TP631898,1:16,19.629712619148588,-99.09310933202505,TP631898,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,1,0100174985,TP631898,1:16,19.629712619148588,-99.09310933202505,TP631898,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,1,0131988612,TP631898,1:16,19.629712619148588,-99.09310933202505,TP631898,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,1,0142433548,TP631898,1:16,19.629712619148588,-99.09310933202505,TP631898,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,1,0118790321,TP631898,1:16,19.629712619148588,-99.09310933202505,TP631898,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,1,0134610483,TP631898,1:16,19.629712619148588,-99.09310933202505,TP631898,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,1,0135622338,TP631898,1:16,19.629712619148588,-99.09310933202505,TP631898,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,1,0100524119,TP631898,1:16,19.629712619148588,-99.09310933202505,TP631898,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,1,0102714703,TP631898,1:16,19.629712619148588,-99.09310933202505,TP631898,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,1,0104510998,TP631898,1:16,19.629712619148588,-99.09310933202505,TP631898,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,1,0126007898,TP631899,1:16,19.628711874329934,-99.09340471029282,TP631899,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,1,0107401479,TP631899,1:16,19.628711874329934,-99.09340471029282,TP631899,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,1,0103553995,TP631899,1:16,19.628711874329934,-99.09340471029282,TP631899,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,1,0104516217,TP631899,1:16,19.628711874329934,-99.09340471029282,TP631899,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,1,0103161899,TP631899,1:16,19.628711874329934,-99.09340471029282,TP631899,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,1,0117732710,TP631899,1:16,19.628711874329934,-99.09340471029282,TP631899,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,1,0116210502,TP631899,1:16,19.628711874329934,-99.09340471029282,TP631899,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,1,0103204576,TP631899,1:16,19.628711874329934,-99.09340471029282,TP631899,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,1,0109217338,TP631899,1:16,19.628711874329934,-99.09340471029282,TP631899,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,1,0109850305,TP631899,1:16,19.628711874329934,-99.09340471029282,TP631899,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,1,0105191476,TP631899,1:16,19.628711874329934,-99.09340471029282,TP631899,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,1,0106817493,TP631899,1:16,19.628711874329934,-99.09340471029282,TP631899,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,1,0110057304,TP631899,1:16,19.628711874329934,-99.09340471029282,TP631899,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,1,0107707991,TP631899,1:16,19.628711874329934,-99.09340471029282,TP631899,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,1,0121339707,TP631899,1:16,19.628711874329934,-99.09340471029282,TP631899,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,1,0101499812,TP631902,1:16,19.627037531255024,-99.09382816404104,TP631902,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,1,0112220443,TP631902,1:16,19.627037531255024,-99.09382816404104,TP631902,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,1,0106965852,TP631902,1:16,19.627037531255024,-99.09382816404104,TP631902,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,1,0105394410,TP631902,1:16,19.627037531255024,-99.09382816404104,TP631902,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,1,0118403039,TP631902,1:16,19.627037531255024,-99.09382816404104,TP631902,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,1,0135305202,TP631902,1:16,19.627037531255024,-99.09382816404104,TP631902,Poste
COACALCO,COACALCO,COACALCO_DF,0,1,1,0103935175,TP631902,1:16,19.627037531255024,-99.09382816404104,TP631902,Poste
