Orden de Trabajo,Cuenta de Cliente,Centro,Almacén,Cantidad,Número de Empleado,Orden de Servicio,Fecha de Ingreso,Descripcion de Material ,Categoria de Material,Tipo de Servicio,Empresa,Causa del Soporte,Costo Unitario,Costo Total,Geocerca
31120353,0104481735,RE29,0659,1,RCEE3CMXT4843,OS-59254541,46020,VIDEO SOUNDBOX VSB3940 TPL,VSB,Cambio De Plan,RCE 3,NA,939.12,939.12,COA_3
31120353,0104481735,RE29,0659,1,RCEE3CMXT4843,OS-59254541,46020,SPEAKERS VSB TOTALPLAY TV SURROUND,Speakers,Cambio De Plan,RCE 3,NA,#N/D,#N/D,COA_3
31120353,0104481735,RE29,0659,10,RCEE3CMXT4843,OS-59254541,46020,GRAPA P/CABLE TELEFONICO REDONDO BCO,Miselaneo,Cambio De Plan,RCE 3,NA,9.07,90.7,COA_3
31251447,0107473739,RE29,0819,1,RCEE3CMXT5244,OS-59372739,46020,VIDEO SOUNDBOX VSB3940 TPL,VSB,Cambio De Plan,RCE 3,NA,939.12,939.12,COA_1
31282935,0115869003,RE29,0585,1,RCEE3CMXT4894,OS-59400226,46020,Drop 120m,Fibra Preconectorizada,Addons,RCE 3,NA,409.96,409.96,COA_7
31282935,0115869003,RE29,0585,1,RCEE3CMXT4894,OS-59400226,46020,SELLO TIPO CANDADO MODELO 8001,Miselaneo,Addons,RCE 3,NA,1.47,1.47,COA_7
31282935,0115869003,RE29,0585,1,RCEE3CMXT4894,OS-59400226,46020,FORMATOS UNIVERSALES DE SOPORTE,Miselaneo,Addons,RCE 3,NA,1.84,1.84,COA_7
31282935,0115869003,RE29,0585,10,RCEE3CMXT4894,OS-59400226,46020,TENSOR PARA ACOMETIDA,Miselaneo,Addons,RCE 3,NA,5.97,59.7,COA_7
31282935,0115869003,RE29,0585,2,RCEE3CMXT4894,OS-59400226,46020,CONECTOR PREPULIDO 250UM,Conector  SC,Addons,RCE 3,NA,19.13,38.26,COA_7
31282935,0115869003,RE29,0585,10,RCEE3CMXT4894,OS-59400226,46020,GRAPA P/CABLE COAX BCA CLAVO 3/4,Miselaneo,Addons,RCE 3,NA,7.67,76.7,COA_7
31282935,0115869003,RE29,0585,20,RCEE3CMXT4894,OS-59400226,46020,GRAPA P/CABLE TELEFONICO REDONDO BCO,Miselaneo,Addons,RCE 3,NA,9.07,181.4,COA_7
31303995,0142244107,RE29,0080,1,RCEE3CMXT1827,OS-59418774,46020,ONT HUAWEI HG8145X6-10,ONT,Instalación,RCE 3,NA,537.99,537.99,COA_3
31303995,0142244107,RE29,0080,15,RCEE3CMXT1827,OS-59418774,46020,CAB UTP CAT 6 BLANCO OUTDOOR BOB 305MTS,UTP,Instalación,RCE 3,NA,6.43,96.45,COA_3
31303995,0142244107,RE29,0080,1,RCEE3CMXT1827,OS-59418774,46020,VIDEO SOUNDBOX VSB3940 TPL,VSB,Instalación,RCE 3,NA,939.12,939.12,COA_3
31303995,0142244107,RE29,0080,2,RCEE3CMXT1827,OS-59418774,46020,CONECTOR PREPULIDO 250UM,Conector  SC,Instalación,RCE 3,NA,19.13,38.26,COA_3
31303995,0142244107,RE29,0080,250,RCEE3CMXT1827,OS-59418774,46020,UNIFIBRA OPTICA,Fibra Optica Carrete,Instalación,RCE 3,NA,3.13,782.5,COA_3
31341870,0142247482,RE29,0820,1,RCEE3CMXT5257,OS-59453263,46020,WELCOME KITS FOLDER,Miselaneo,Instalación,RCE 3,NA,9.44,9.44,COA_4
31341870,0142247482,RE29,0820,15,RCEE3CMXT5257,OS-59453263,46020,CAB UTP CAT 6 BLANCO OUTDOOR BOB 305MTS,UTP,Instalación,RCE 3,NA,6.43,96.45,COA_4
31341870,0142247482,RE29,0820,8,RCEE3CMXT5257,OS-59453263,46020,TENSOR PARA ACOMETIDA,Miselaneo,Instalación,RCE 3,NA,5.97,47.76,COA_4
31341870,0142247482,RE29,0820,15,RCEE3CMXT5257,OS-59453263,46020,GRAPA P/CABLE TELEFONICO REDONDO BCO,Miselaneo,Instalación,RCE 3,NA,9.07,136.05,COA_4
31341870,0142247482,RE29,0820,1,RCEE3CMXT5257,OS-59453263,46020,#N/D,#N/D,Instalación,RCE 3,NA,603.61,603.61,COA_4
31341870,0142247482,RE29,0820,1,RCEE3CMXT5257,OS-59453263,46020,Drop 150m,Fibra Preconectorizada,Instalación,RCE 3,NA,535.01,535.01,COA_4
31341870,0142247482,RE29,0820,1,RCEE3CMXT5257,OS-59453263,46020,AP FIBERHOME MODELO SR1041E WIFI 6,Extender,Instalación,RCE 3,NA,297.27,297.27,COA_4
31345462,0132597250,RE29,0168,5,RCEE3CMXT1619,OS-59456006,46020,GRAPA P/CABLE TELEFONICO REDONDO BCO,Miselaneo,Cambio De Domicilio,RCE 3,NA,9.07,45.35,COA_4
31345462,0132597250,RE29,0168,1,RCEE3CMXT1619,OS-59456006,46020,Drop 120m,Fibra Preconectorizada,Cambio De Domicilio,RCE 3,NA,409.96,409.96,COA_4
31352167,0131462440,BR05,0320,1,BRAM3CX2T0105,OS-59461155,46020,Drop 100m,Fibra Preconectorizada,Cambio De Domicilio,BRAME 3,NA,372.52,372.52,COA_5
31352167,0131462440,BR05,0320,15,BRAM3CX2T0105,OS-59461155,46020,CAB UTP CAT 6 BLANCO OUTDOOR BOB 305MTS,UTP,Cambio De Domicilio,BRAME 3,NA,6.43,96.45,COA_5
31352167,0131462440,BR05,0320,1,BRAM3CX2T0105,OS-59461155,46020,CINCHO NEGRO 0.36X15 CM C/100 PZAS,Miselaneo,Cambio De Domicilio,BRAME 3,NA,15.99,15.99,COA_5
31352167,0131462440,BR05,0320,12,BRAM3CX2T0105,OS-59461155,46020,GRAPA P/CABLE COAX BCA CLAVO 3/4,Miselaneo,Cambio De Domicilio,BRAME 3,NA,7.67,92.04,COA_5
31352167,0131462440,BR05,0320,2,BRAM3CX2T0105,OS-59461155,46020,CONECTOR RJ45 CAT 6,Conector UTP,Cambio De Domicilio,BRAME 3,NA,1.89,3.78,COA_5
31352167,0131462440,BR05,0320,25,BRAM3CX2T0105,OS-59461155,46020,GRAPA P/CABLE TELEFONICO REDONDO BCO,Miselaneo,Cambio De Domicilio,BRAME 3,NA,9.07,226.75,COA_5
31355226,0141221209,RE29,0038,1,RCEE3CMXT3999,OS-59464122,46020,Drop 100m,Fibra Preconectorizada,Addons,RCE 3,NA,372.52,372.52,COA_3
31355226,0141221209,RE29,0038,1,RCEE3CMXT3999,OS-59464122,46020,FORMATOS UNIVERSALES DE SERVICIO,Miselaneo,Addons,RCE 3,NA,1.51,1.51,COA_3
31355226,0141221209,RE29,0038,15,RCEE3CMXT3999,OS-59464122,46020,CAB UTP CAT 6 BLANCO OUTDOOR BOB 305MTS,UTP,Addons,RCE 3,NA,6.43,96.45,COA_3
31355226,0141221209,RE29,0038,15,RCEE3CMXT3999,OS-59464122,46020,GRAPA P/CABLE TELEFONICO REDONDO BCO,Miselaneo,Addons,RCE 3,NA,9.07,136.05,COA_3
31355226,0141221209,RE29,0038,1,RCEE3CMXT3999,OS-59464122,46020,CONECTOR RJ45 CAT 6,Conector UTP,Addons,RCE 3,NA,1.89,1.89,COA_3
31355226,0141221209,RE29,0038,15,RCEE3CMXT3999,OS-59464122,46020,TENSOR PARA ACOMETIDA,Miselaneo,Addons,RCE 3,NA,5.97,89.55,COA_3
31369908,0142253827,RE29,0678,10,RCEE3CMXT4881,OS-59478351,46020,CAB UTP CAT 6 BLANCO OUTDOOR BOB 305MTS,UTP,Instalación,RCE 3,NA,6.43,64.3,COA_7
31369908,0142253827,RE29,0678,1,RCEE3CMXT4881,OS-59478351,46020,SELLO TIPO CANDADO MODELO 8001,Miselaneo,Instalación,RCE 3,NA,1.47,1.47,COA_7
31369908,0142253827,RE29,0678,1,RCEE3CMXT4881,OS-59478351,46020,Drop 50m,Fibra Preconectorizada,Instalación,RCE 3,NA,229.8,229.8,COA_7
31369908,0142253827,RE29,0678,1,RCEE3CMXT4881,OS-59478351,46020,BOTA PARA CAJA 2N OPTITAP,Bota 2n,Instalación,RCE 3,NA,#N/D,#N/D,COA_7
31369908,0142253827,RE29,0678,2,RCEE3CMXT4881,OS-59478351,46020,CONECTOR RJ45 CAT 6,Conector UTP,Instalación,RCE 3,NA,1.89,3.78,COA_7
31369908,0142253827,RE29,0678,1,RCEE3CMXT4881,OS-59478351,46020,HEBILLA ACERO  5/8,Miselaneo,Instalación,RCE 3,NA,1.79,1.79,COA_7
31369908,0142253827,RE29,0678,16,RCEE3CMXT4881,OS-59478351,46020,GRAPA P/CABLE TELEFONICO REDONDO BCO,Miselaneo,Instalación,RCE 3,NA,9.07,145.12,COA_7
31369908,0142253827,RE29,0678,1,RCEE3CMXT4881,OS-59478351,46020,#N/D,#N/D,Instalación,RCE 3,NA,603.61,603.61,COA_7
31369908,0142253827,RE29,0678,2,RCEE3CMXT4881,OS-59478351,46020,HERRAJE TIPO D 5MM GALVANIZADO INMERSION,Miselaneo,Instalación,RCE 3,NA,10.29,20.58,COA_7
31369908,0142253827,RE29,0678,1,RCEE3CMXT4881,OS-59478351,46020,DIW362 WIFI4K2GB STB SAGEM C/CONTROL T4H,STB,Instalación,RCE 3,NA,#N/D,#N/D,COA_7
31372306,0142254648,BR05,0708,1,BRAM3CX2T0121,OS-59480208,46020,CINCHO NEGRO 0.36X15 CM C/100 PZAS,Miselaneo,Instalación,BRAME 3,NA,15.99,15.99,COA_5
31372306,0142254648,BR05,0708,1,BRAM3CX2T0121,OS-59480208,46020,ONT HUAWEI HG8145X6-10,ONT,Instalación,BRAME 3,NA,537.99,537.99,COA_5
31372306,0142254648,BR05,0708,12,BRAM3CX2T0121,OS-59480208,46020,TENSOR PARA ACOMETIDA,Miselaneo,Instalación,BRAME 3,NA,5.97,71.64,COA_5
31372306,0142254648,BR05,0708,12,BRAM3CX2T0121,OS-59480208,46020,GRAPA P/CABLE TELEFONICO REDONDO BCO,Miselaneo,Instalación,BRAME 3,NA,9.07,108.84,COA_5
31372306,0142254648,BR05,0708,1,BRAM3CX2T0121,OS-59480208,46020,Drop 150m,Fibra Preconectorizada,Instalación,BRAME 3,NA,535.01,535.01,COA_5
31372306,0142254648,BR05,0708,8,BRAM3CX2T0121,OS-59480208,46020,GRAPA P/CABLE COAX BCA CLAVO 3/4,Miselaneo,Instalación,BRAME 3,NA,7.67,61.36,COA_5
31375781,0102692028,RE29,0819,1,RCEE3CMXT5244,OS-59482894,46020,DIW362 WIFI4K2GB STB SAGEM C/CONTROL T4H,STB,Cambio De Plan,RCE 3,NA,#N/D,#N/D,COA_1
31378092,0135144051,RE29,0080,1,RCEE3CMXT1827,OS-59484873,46020,Drop 150m,Fibra Preconectorizada,Soporte,RCE 3,"Mala Instalación Unifibra (En Tensor, FO Ahorcada, Trayectoria)",535.01,535.01,COA_3
31379445,0142256904,RE29,0023,1,RCEE3CMXT1609,OS-59486248,46020,DECODIFICADOR IPTV DIW377V MICROPHONES,STB,Instalación,RCE 3,NA,1222.11,1222.11,COA_3
31379445,0142256904,RE29,0023,1,RCEE3CMXT1609,OS-59486248,46020,ONT FIBERHOME HG145F1,ONT,Instalación,RCE 3,NA,520.27,520.27,COA_3
31379445,0142256904,RE29,0023,15,RCEE3CMXT1609,OS-59486248,46020,CAB UTP CAT 6 BLANCO OUTDOOR BOB 305MTS,UTP,Instalación,RCE 3,NA,6.43,96.45,COA_3
31379445,0142256904,RE29,0023,2,RCEE3CMXT1609,OS-59486248,46020,CONECTOR RJ45 CAT 6,Conector UTP,Instalación,RCE 3,NA,1.89,3.78,COA_3
31379445,0142256904,RE29,0023,1,RCEE3CMXT1609,OS-59486248,46020,Drop 100m,Fibra Preconectorizada,Instalación,RCE 3,NA,372.52,372.52,COA_3
31383320,0142248636,RE29,0822,1,RCEE3CMXT5251,OS-59455506,46020,AP FIBERHOME MODELO SR1041E WIFI 6,Extender,Instalación,RCE 3,NA,297.27,297.27,COA_4
31383320,0142248636,RE29,0822,1,RCEE3CMXT5251,OS-59455506,46020,#N/D,#N/D,Instalación,RCE 3,NA,603.61,603.61,COA_4
31383320,0142248636,RE29,0822,15,RCEE3CMXT5251,OS-59455506,46020,CAB UTP CAT 6 BLANCO OUTDOOR BOB 305MTS,UTP,Instalación,RCE 3,NA,6.43,96.45,COA_4
31383320,0142248636,RE29,0822,250,RCEE3CMXT5251,OS-59455506,46020,UNIFIBRA OPTICA,Fibra Optica Carrete,Instalación,RCE 3,NA,3.13,782.5,COA_4
31383675,0142257095,RE29,0077,1,RCEE3CMXT3931,OS-59491146,46020,Drop 150m,Fibra Preconectorizada,Instalación,RCE 3,NA,535.01,535.01,COA_4
31383675,0142257095,RE29,0077,1,RCEE3CMXT3931,OS-59491146,46020,#N/D,#N/D,Instalación,RCE 3,NA,603.61,603.61,COA_4
31383675,0142257095,RE29,0077,1,RCEE3CMXT3931,OS-59491146,46020,FLEJE DE ACERO 5/8   CAJA 30 METROS C/U,Miselaneo,Instalación,RCE 3,NA,254.2,254.2,COA_4
31383675,0142257095,RE29,0077,1,RCEE3CMXT3931,OS-59491146,46020,CINCHO NEGRO 0.36X15 CM C/100 PZAS,Miselaneo,Instalación,RCE 3,NA,15.99,15.99,COA_4
31383675,0142257095,RE29,0077,5,RCEE3CMXT3931,OS-59491146,46020,TENSOR PARA ACOMETIDA,Miselaneo,Instalación,RCE 3,NA,5.97,29.85,COA_4
31383675,0142257095,RE29,0077,1,RCEE3CMXT3931,OS-59491146,46020,SELLO TIPO CANDADO MODELO 8001,Miselaneo,Instalación,RCE 3,NA,1.47,1.47,COA_4
31383852,0142232743,RE29,0618,1,RCEE3CMXT4753,OS-59370130,46020,Drop 150m,Fibra Preconectorizada,Instalación,RCE 3,NA,535.01,535.01,COA_4
31383852,0142232743,RE29,0618,1,RCEE3CMXT4753,OS-59370130,46020,ONT FIBERHOME HG145F1,ONT,Instalación,RCE 3,NA,520.27,520.27,COA_4
31383852,0142232743,RE29,0618,15,RCEE3CMXT4753,OS-59370130,46020,GRAPA P/CABLE TELEFONICO REDONDO BCO,Miselaneo,Instalación,RCE 3,NA,9.07,136.05,COA_4
31383852,0142232743,RE29,0618,15,RCEE3CMXT4753,OS-59370130,46020,TENSOR PARA ACOMETIDA,Miselaneo,Instalación,RCE 3,NA,5.97,89.55,COA_4
31383852,0142232743,RE29,0618,1,RCEE3CMXT4753,OS-59370130,46020,SELLO TIPO CANDADO MODELO 8001,Miselaneo,Instalación,RCE 3,NA,1.47,1.47,COA_4
31386198,0140446940,RE29,0060,2,RCEE3CMXT1757,OS-59492856,46020,CONECTOR RJ45 CAT 6,Conector UTP,Soporte,RCE 3,"Daño Físico (Descarga Eléctrica, Insectos, Humedad, otro)",1.89,3.78,COA_4
31386198,0140446940,RE29,0060,15,RCEE3CMXT1757,OS-59492856,46020,CAB UTP CAT 6 BLANCO OUTDOOR BOB 305MTS,UTP,Soporte,RCE 3,"Daño Físico (Descarga Eléctrica, Insectos, Humedad, otro)",6.43,96.45,COA_4
31386198,0140446940,RE29,0060,1,RCEE3CMXT1757,OS-59492856,46020,Drop 100m,Fibra Preconectorizada,Soporte,RCE 3,"Daño Físico (Descarga Eléctrica, Insectos, Humedad, otro)",372.52,372.52,COA_4
31386198,0140446940,RE29,0060,1,RCEE3CMXT1757,OS-59492856,46020,#N/D,#N/D,Soporte,RCE 3,"Daño Físico (Descarga Eléctrica, Insectos, Humedad, otro)",603.61,603.61,COA_4
31386198,0140446940,RE29,0060,1,RCEE3CMXT1757,OS-59492856,46020,DECODIFICADOR IPTV DIW377V MICROPHONES,STB,Soporte,RCE 3,"Daño Físico (Descarga Eléctrica, Insectos, Humedad, otro)",1222.11,1222.11,COA_4
31386239,0117049984,RE29,0091,1,RCEE3CMXT3890,OS-59492889,46020,DECODIFICADOR IPTV DIW377V MICROPHONES,STB,Addons,RCE 3,NA,1222.11,1222.11,COA_1
31386239,0117049984,RE29,0091,15,RCEE3CMXT3890,OS-59492889,46020,CAB UTP CAT 6 BLANCO OUTDOOR BOB 305MTS,UTP,Addons,RCE 3,NA,6.43,96.45,COA_1
31386239,0117049984,RE29,0091,1,RCEE3CMXT3890,OS-59492889,46020,CABLE RCA - MINI JACK STB,Miselaneo,Addons,RCE 3,NA,12.35,12.35,COA_1
31386391,0142257670,RE29,0608,230,RCEE3CMXT4751,OS-59493008,46020,UNIFIBRA OPTICA,Fibra Optica Carrete,Instalación,RCE 3,NA,3.13,719.9,COA_7
31386391,0142257670,RE29,0608,1,RCEE3CMXT4751,OS-59493008,46020,ROSETA RESIDENCIAL,Roseta,Instalación,RCE 3,NA,#N/D,#N/D,COA_7
31386391,0142257670,RE29,0608,1,RCEE3CMXT4751,OS-59493008,46020,FORMATOS UNIVERSALES DE SERVICIO,Miselaneo,Instalación,RCE 3,NA,1.51,1.51,COA_7
31386391,0142257670,RE29,0608,4,RCEE3CMXT4751,OS-59493008,46020,TENSOR PARA ACOMETIDA,Miselaneo,Instalación,RCE 3,NA,5.97,23.88,COA_7
31386391,0142257670,RE29,0608,8,RCEE3CMXT4751,OS-59493008,46020,GRAPA P/CABLE TELEFONICO REDONDO BCO,Miselaneo,Instalación,RCE 3,NA,9.07,72.56,COA_7
31386391,0142257670,RE29,0608,1,RCEE3CMXT4751,OS-59493008,46020,#N/D,#N/D,Instalación,RCE 3,NA,603.61,603.61,COA_7
31386391,0142257670,RE29,0608,1,RCEE3CMXT4751,OS-59493008,46020,BOTA PARA CAJA 2N OPTITAP,Bota 2n,Instalación,RCE 3,NA,#N/D,#N/D,COA_7
31386391,0142257670,RE29,0608,10,RCEE3CMXT4751,OS-59493008,46020,GRAPA P/CABLE COAX BCA CLAVO 3/4,Miselaneo,Instalación,RCE 3,NA,7.67,76.7,COA_7
31386391,0142257670,RE29,0608,2,RCEE3CMXT4751,OS-59493008,46020,CONECTOR PREPULIDO 250UM,Conector  SC,Instalación,RCE 3,NA,19.13,38.26,COA_7
31389163,0123012498,RE29,0794,10,RCEE3CMXT5206,OS-59495042,46020,GRAPA P/CABLE TELEFONICO REDONDO BCO,Miselaneo,Addons,RCE 3,NA,9.07,90.7,COA_7
31389163,0123012498,RE29,0794,1,RCEE3CMXT5206,OS-59495042,46020,Drop 100m,Fibra Preconectorizada,Addons,RCE 3,NA,372.52,372.52,COA_7
31389612,0122350240,RE29,0544,1,RCEM3CX2T0100,OS-59495348,46020,DECODIFICADOR IPTV DIW377V MICROPHONES,STB,Soporte,RCE 3,Falla Puerto HDMI,1222.11,1222.11,COA_4
31389612,0122350240,RE29,0544,1,RCEM3CX2T0100,OS-59495348,46020,DECODIFICADOR IPTV DIW377V MICROPHONES,STB,Soporte,RCE 3,Falla Puerto HDMI,1222.11,1222.11,COA_4
31389612,0122350240,RE29,0544,1,RCEM3CX2T0100,OS-59495348,46020,Drop 100m,Fibra Preconectorizada,Soporte,RCE 3,Falla Puerto HDMI,372.52,372.52,COA_4
31389612,0122350240,RE29,0544,1,RCEM3CX2T0100,OS-59495348,46020,#N/D,#N/D,Soporte,RCE 3,Falla Puerto HDMI,603.61,603.61,COA_4
31391321,0141816930,RE29,0424,2,RCEE3CMXT4057,OS-59496584,46020,HERRAJE TIPO D 5MM GALVANIZADO INMERSION,Miselaneo,Addons,RCE 3,NA,10.29,20.58,COA_7
31391321,0141816930,RE29,0424,30,RCEE3CMXT4057,OS-59496584,46020,GRAPA P/CABLE TELEFONICO REDONDO BCO,Miselaneo,Addons,RCE 3,NA,9.07,272.1,COA_7
31391321,0141816930,RE29,0424,1,RCEE3CMXT4057,OS-59496584,46020,HEBILLA ACERO  5/8,Miselaneo,Addons,RCE 3,NA,1.79,1.79,COA_7
31391321,0141816930,RE29,0424,2,RCEE3CMXT4057,OS-59496584,46020,CONECTOR RJ45 CAT 6,Conector UTP,Addons,RCE 3,NA,1.89,3.78,COA_7
31391321,0141816930,RE29,0424,15,RCEE3CMXT4057,OS-59496584,46020,CAB UTP CAT 6 BLANCO OUTDOOR BOB 305MTS,UTP,Addons,RCE 3,NA,6.43,96.45,COA_7
31391321,0141816930,RE29,0424,1,RCEE3CMXT4057,OS-59496584,46020,SELLO TIPO CANDADO MODELO 8001,Miselaneo,Addons,RCE 3,NA,1.47,1.47,COA_7
31391321,0141816930,RE29,0424,1,RCEE3CMXT4057,OS-59496584,46020,Drop 150m,Fibra Preconectorizada,Addons,RCE 3,NA,535.01,535.01,COA_7
31391764,0141964308,RE29,0819,1,RCEE3CMXT5244,OS-59496911,46020,DECODIFICADOR IPTV DIW377V MICROPHONES,STB,Cambio De Plan,RCE 3,NA,1222.11,1222.11,COA_3
31392091,0122935611,BR05,0320,1,BRAM3CX2T0105,OS-59497178,46020,CONECTOR PREPULIDO 250UM,Conector  SC,Addons,BRAME 3,NA,19.13,19.13,COA_5
31392091,0122935611,BR05,0320,25,BRAM3CX2T0105,OS-59497178,46020,GRAPA P/CABLE COAX BCA CLAVO 3/4,Miselaneo,Addons,BRAME 3,NA,7.67,191.75,COA_5
31392091,0122935611,BR05,0320,2,BRAM3CX2T0105,OS-59497178,46020,CONECTOR RJ45 CAT 6,Conector UTP,Addons,BRAME 3,NA,1.89,3.78,COA_5
31392091,0122935611,BR05,0320,15,BRAM3CX2T0105,OS-59497178,46020,CAB UTP CAT 6 BLANCO OUTDOOR BOB 305MTS,UTP,Addons,BRAME 3,NA,6.43,96.45,COA_5
31392167,0117049984,RE29,0091,1,RCEE3CMXT3890,OS-59497236,46020,#N/D,#N/D,Soporte,RCE 3,"Mala Instalación Unifibra (En Tensor, FO Ahorcada, Trayectoria)",603.61,603.61,COA_1
31392167,0117049984,RE29,0091,1,RCEE3CMXT3890,OS-59497236,46020,Drop 120m,Fibra Preconectorizada,Soporte,RCE 3,"Mala Instalación Unifibra (En Tensor, FO Ahorcada, Trayectoria)",409.96,409.96,COA_1
31392167,0117049984,RE29,0091,15,RCEE3CMXT3890,OS-59497236,46020,CAB UTP CAT 6 BLANCO OUTDOOR BOB 305MTS,UTP,Soporte,RCE 3,"Mala Instalación Unifibra (En Tensor, FO Ahorcada, Trayectoria)",6.43,96.45,COA_1
31392178,0120771229,RE29,0038,1,RCEE3CMXT3999,OS-59497244,46020,FORMATOS UNIVERSALES DE SOPORTE,Miselaneo,Soporte,RCE 3,Asesoría uso servicio de Internet,1.84,1.84,COA_3
31392268,0142259421,BR05,0685,1,BRAM3CX2T0115,OS-59497316,46020,ONT HUAWEI HG8145X6-10,ONT,Instalación,BRAME 3,NA,537.99,537.99,COA_7
31392268,0142259421,BR05,0685,260,BRAM3CX2T0115,OS-59497316,46020,UNIFIBRA OPTICA DROP,Fibra Optica Carrete,Instalación,BRAME 3,NA,3.13,813.8,COA_7
31393107,0141830144,RE29,0094,10,RCEE3CMXT1759,OS-59497903,46020,CAB UTP CAT 6 BLANCO OUTDOOR BOB 305MTS,UTP,Soporte,RCE 3,Falla En Puerto Óptico,6.43,64.3,COA_3
31393107,0141830144,RE29,0094,1,RCEE3CMXT1759,OS-59497903,46020,ONT FIBERHOME HG145F1,ONT,Soporte,RCE 3,Falla En Puerto Óptico,520.27,520.27,COA_3
31393376,0142259519,RE29,0802,1,RCEE3CMXT5202,OS-59498103,46020,#N/D,#N/D,Instalación,RCE 3,NA,603.61,603.61,COA_5
31393376,0142259519,RE29,0802,1,RCEE3CMXT5202,OS-59498103,46020,CABLE RCA - MINI JACK STB,Miselaneo,Instalación,RCE 3,NA,12.35,12.35,COA_5
31393376,0142259519,RE29,0802,1,RCEE3CMXT5202,OS-59498103,46020,DECODIFICADOR IPTV DIW377V MICROPHONES,STB,Instalación,RCE 3,NA,1222.11,1222.11,COA_5
31393376,0142259519,RE29,0802,10,RCEE3CMXT5202,OS-59498103,46020,CAB UTP CAT 6 BLANCO OUTDOOR BOB 305MTS,UTP,Instalación,RCE 3,NA,6.43,64.3,COA_5
31393376,0142259519,RE29,0802,1,RCEE3CMXT5202,OS-59498103,46020,Drop 120m,Fibra Preconectorizada,Instalación,RCE 3,NA,409.96,409.96,COA_5
31393645,0102386002,RE29,0634,1,RCEE3CMXT4794,OS-59498324,46020,FORMATOS UNIVERSALES DE SOPORTE,Miselaneo,Soporte,RCE 3,"Mala Instalación Unifibra (En Tensor, FO Ahorcada, Trayectoria)",1.84,1.84,COA_1
31393886,0142256378,RE29,0509,8,RCEE3CMXT4604,OS-59484498,46020,GRAPA P/CABLE TELEFONICO REDONDO BCO,Miselaneo,Instalación,RCE 3,NA,9.07,72.56,COA_3
31393886,0142256378,RE29,0509,1,RCEE3CMXT4604,OS-59484498,46020,DIW362 WIFI4K2GB STB SAGEM C/CONTROL T4H,STB,Instalación,RCE 3,NA,#N/D,#N/D,COA_3
31393886,0142256378,RE29,0509,1,RCEE3CMXT4604,OS-59484498,46020,#N/D,#N/D,Instalación,RCE 3,NA,603.61,603.61,COA_3
31393886,0142256378,RE29,0509,2,RCEE3CMXT4604,OS-59484498,46020,CONECTOR RJ45 CAT 6,Conector UTP,Instalación,RCE 3,NA,1.89,3.78,COA_3
31393886,0142256378,RE29,0509,9,RCEE3CMXT4604,OS-59484498,46020,GRAPA P/CABLE COAX BCA CLAVO 3/4,Miselaneo,Instalación,RCE 3,NA,7.67,69.03,COA_3
31393886,0142256378,RE29,0509,1,RCEE3CMXT4604,OS-59484498,46020,Drop 150m,Fibra Preconectorizada,Instalación,RCE 3,NA,535.01,535.01,COA_3
31393886,0142256378,RE29,0509,9,RCEE3CMXT4604,OS-59484498,46020,CAB UTP CAT 6 BLANCO OUTDOOR BOB 305MTS,UTP,Instalación,RCE 3,NA,6.43,57.87,COA_3
31393886,0142256378,RE29,0509,1,RCEE3CMXT4604,OS-59484498,46020,SELLO TIPO CANDADO MODELO 8001,Miselaneo,Instalación,RCE 3,NA,1.47,1.47,COA_3
31393907,0142040717,RE29,0798,15,RCEE3CMXT5203,OS-59498504,46020,GRAPA P/CABLE TELEFONICO REDONDO BCO,Miselaneo,Soporte,RCE 3,ONT No Configurada (Sin Servicio),9.07,136.05,COA_5
31393907,0142040717,RE29,0798,1,RCEE3CMXT5203,OS-59498504,46020,ONT FIBERHOME HG145F1,ONT,Soporte,RCE 3,ONT No Configurada (Sin Servicio),520.27,520.27,COA_5
31393907,0142040717,RE29,0798,1,RCEE3CMXT5203,OS-59498504,46020,AP FIBERHOME MODELO SR1041E WIFI 6,Extender,Soporte,RCE 3,ONT No Configurada (Sin Servicio),297.27,297.27,COA_5
31393907,0142040717,RE29,0798,1,RCEE3CMXT5203,OS-59498504,46020,CONECTOR RJ45 CAT 6,Conector UTP,Soporte,RCE 3,ONT No Configurada (Sin Servicio),1.89,1.89,COA_5
31393907,0142040717,RE29,0798,20,RCEE3CMXT5203,OS-59498504,46020,CAB UTP CAT 6 BLANCO OUTDOOR BOB 305MTS,UTP,Soporte,RCE 3,ONT No Configurada (Sin Servicio),6.43,128.6,COA_5
31393907,0142040717,RE29,0798,1,RCEE3CMXT5203,OS-59498504,46020,SELLO TIPO CANDADO MODELO 8001,Miselaneo,Soporte,RCE 3,ONT No Configurada (Sin Servicio),1.47,1.47,COA_5
31393971,0100409016,RE29,0651,15,RCEE3CMXT4814,OS-59498554,46020,CAB UTP CAT 6 BLANCO OUTDOOR BOB 305MTS,UTP,Addons,RCE 3,NA,6.43,96.45,COA_2
31394002,0106204392,RE29,0659,1,RCEE3CMXT4843,OS-59498582,46020,Drop 150m,Fibra Preconectorizada,Soporte,RCE 3,"Desgaste de Cableado (Clima, Tiempo de Vida)",535.01,535.01,COA_3
31394002,0106204392,RE29,0659,15,RCEE3CMXT4843,OS-59498582,46020,CAB UTP CAT 6 BLANCO OUTDOOR BOB 305MTS,UTP,Soporte,RCE 3,"Desgaste de Cableado (Clima, Tiempo de Vida)",6.43,96.45,COA_3
