Orden de Trabajo,Cuenta de Cliente,Centro,Almacén,Cantidad,Número de Empleado,Orden de Servicio,Fecha de Ingreso,Descripcion de Material ,Categoria de Material,Tipo de Servicio,Empresa,Causa del Soporte,Costo Unitario,Costo Total,Geocerca
33787901,0142561886,VH05,0026,12,VOHM3CX2T0117,OS-61648797,46112,TENSOR PARA ACOMETIDA,Miselaneo,Soporte,VOHEMA 3,Falla Conector Prepulido,5.97,71.64,COA_7
33787901,0142561886,VH05,0026,324,VOHM3CX2T0117,OS-61648797,46112,UNIFIBRA OPTICA DROP,Fibra Optica Carrete,Soporte,VOHEMA 3,Falla Conector Prepulido,3.13,1014.12,COA_7
33788060,0103436280,TE03,0262,14,TETM3CX2T0108,OS-61648949,46112,GRAPA P/CABLE TELEFONICO REDONDO BCO,Miselaneo,Addons,TETSI 3,NA,9.07,126.98,COA_2
33788229,0140538590,RE29,0468,5,RCEE3CMXT4385,OS-61649106,46112,GRAPA P/CABLE TELEFONICO REDONDO BCO,Miselaneo,Addons,RCE 3,NA,9.07,45.35,COA_2
33788229,0140538590,RE29,0468,5,RCEE3CMXT4385,OS-61649106,46112,GRAPA P/CABLE COAX BCA CLAVO 3/4,Miselaneo,Addons,RCE 3,NA,7.67,38.35,COA_2
33788229,0140538590,RE29,0468,5,RCEE3CMXT4385,OS-61649106,46112,CAB UTP CAT 6 BLANCO OUTDOOR BOB 305MTS,UTP,Addons,RCE 3,NA,6.43,32.15,COA_2
33788230,0105392649,RE29,0080,10,RCEE3CMXT1827,OS-61649109,46112,GRAPA P/CABLE TELEFONICO REDONDO BCO,Miselaneo,Addons,RCE 3,NA,9.07,90.7,COA_2
33788231,0109899098,TE03,0262,12,TETM3CX2T0108,OS-61649110,46112,GRAPA P/CABLE TELEFONICO REDONDO BCO,Miselaneo,Addons,TETSI 3,NA,9.07,108.84,COA_2
33788285,0141370637,RE29,0877,1,RCEE3CMXT5341,OS-61649157,46112,Drop 120m,Fibra Preconectorizada,Soporte,RCE 3,"Mala Instalación Unifibra (En Tensor, FO Ahorcada, Trayectoria)",409.96,409.96,COA_3
33788354,0140538590,RE29,0468,5,RCEE3CMXT4385,OS-61649224,46112,TENSOR PARA ACOMETIDA,Miselaneo,Soporte,RCE 3,"Mala Instalación Unifibra (En Tensor, FO Ahorcada, Trayectoria)",5.97,29.85,COA_2
33788354,0140538590,RE29,0468,5,RCEE3CMXT4385,OS-61649224,46112,GRAPA P/CABLE COAX BCA CLAVO 3/4,Miselaneo,Soporte,RCE 3,"Mala Instalación Unifibra (En Tensor, FO Ahorcada, Trayectoria)",7.67,38.35,COA_2
33788354,0140538590,RE29,0468,5,RCEE3CMXT4385,OS-61649224,46112,GRAPA P/CABLE TELEFONICO REDONDO BCO,Miselaneo,Soporte,RCE 3,"Mala Instalación Unifibra (En Tensor, FO Ahorcada, Trayectoria)",9.07,45.35,COA_2
33788493,0135700644,RE29,0079,1,RCEE3CMXT3996,OS-61649353,46112,Drop 120m,Fibra Preconectorizada,Soporte,RCE 3,"Mala Instalación Unifibra (En Tensor, FO Ahorcada, Trayectoria)",409.96,409.96,COA_4
33788615,0140464154,RE29,0079,1,RCEE3CMXT3996,OS-61649460,46112,ONT HUAWEI HG8145X6-10,ONT,Soporte,RCE 3,"Mala Instalación Unifibra (En Tensor, FO Ahorcada, Trayectoria)",537.99,537.99,COA_4
33788615,0140464154,RE29,0079,1,RCEE3CMXT3996,OS-61649460,46112,CONECTOR PREPULIDO 250UM,Conector  SC,Soporte,RCE 3,"Mala Instalación Unifibra (En Tensor, FO Ahorcada, Trayectoria)",19.13,19.13,COA_4
33788655,0105922655,TE03,0220,4,TETM3CX2T0113,OS-61649500,46112,HERRAJE TIPO D 5MM GALVANIZADO INMERSION,Miselaneo,Soporte,TETSI 3,Falla Conector Prepulido,10.29,41.16,COA_5
33788655,0105922655,TE03,0220,8,TETM3CX2T0113,OS-61649500,46112,GRAPA P/CABLE TELEFONICO REDONDO BCO,Miselaneo,Soporte,TETSI 3,Falla Conector Prepulido,9.07,72.56,COA_5
33788655,0105922655,TE03,0220,2,TETM3CX2T0113,OS-61649500,46112,CONECTOR PREPULIDO 250UM,Conector  SC,Soporte,TETSI 3,Falla Conector Prepulido,19.13,38.26,COA_5
33788655,0105922655,TE03,0220,1,TETM3CX2T0113,OS-61649500,46112,ARMELLA CERRADA 20 X 70,Miselaneo,Soporte,TETSI 3,Falla Conector Prepulido,1.43,1.43,COA_5
33788655,0105922655,TE03,0220,10,TETM3CX2T0113,OS-61649500,46112,CAB UTP CAT 6 BLANCO OUTDOOR BOB 305MTS,UTP,Soporte,TETSI 3,Falla Conector Prepulido,6.43,64.3,COA_5
33788655,0105922655,TE03,0220,2,TETM3CX2T0113,OS-61649500,46112,PIJA CABEZA/ CRUZ DE 10 X 1,Miselaneo,Soporte,TETSI 3,Falla Conector Prepulido,0.27,0.54,COA_5
33788655,0105922655,TE03,0220,2,TETM3CX2T0113,OS-61649500,46112,HEBILLA ACERO  5/8,Miselaneo,Soporte,TETSI 3,Falla Conector Prepulido,1.79,3.58,COA_5
33788735,0200890879,RE29,0026,1,RCEE3CMXT1635,NA,46112,Drop 120m,Fibra Preconectorizada,Hallazgo Empresarial,RCE 3,NA,409.96,409.96,COA_5
33788735,0200890879,RE29,0026,20,RCEE3CMXT1635,NA,46112,GRAPA P/CABLE TELEFONICO REDONDO BCO,Miselaneo,Hallazgo Empresarial,RCE 3,NA,9.07,181.4,COA_5
33788763,0142761511,RE29,0612,1,RCEE3CMXT4755,OS-61649596,46112,SELLO TIPO CANDADO MODELO 8001,Miselaneo,Instalación,RCE 3,NA,1.47,1.47,COA_5
33788763,0142761511,RE29,0612,1,RCEE3CMXT4755,OS-61649596,46112,FIBERHOME ONT 4GE 1POTS DUALBAND HG6145F,ONT,Instalación,RCE 3,NA,3.6,3.6,COA_5
33788763,0142761511,RE29,0612,1,RCEE3CMXT4755,OS-61649596,46112,AP FIBERHOME MODELO SR1041E WIFI 6,Extender,Instalación,RCE 3,NA,297.27,297.27,COA_5
33788768,0107559990,RE29,0468,10,RCEE3CMXT4385,OS-61649601,46112,GRAPA P/CABLE TELEFONICO REDONDO BCO,Miselaneo,Soporte,RCE 3,Falla Puerto HDMI,9.07,90.7,COA_2
33788768,0107559990,RE29,0468,10,RCEE3CMXT4385,OS-61649601,46112,GRAPA P/CABLE COAX BCA CLAVO 3/4,Miselaneo,Soporte,RCE 3,Falla Puerto HDMI,7.67,76.7,COA_2
33788768,0107559990,RE29,0468,2,RCEE3CMXT4385,OS-61649601,46112,CONECTOR RJ45 CAT 6,Conector UTP,Soporte,RCE 3,Falla Puerto HDMI,1.89,3.78,COA_2
33788768,0107559990,RE29,0468,15,RCEE3CMXT4385,OS-61649601,46112,CAB UTP CAT 6 BLANCO OUTDOOR BOB 305MTS,UTP,Soporte,RCE 3,Falla Puerto HDMI,6.43,96.45,COA_2
33788768,0107559990,RE29,0468,1,RCEE3CMXT4385,OS-61649601,46112,DIW362 WI-FI 2X2 4K STB 2 GB SAGEM,STB,Soporte,RCE 3,Falla Puerto HDMI,#N/D,#N/D,COA_2
33788804,0114983035,RE29,0079,1,RCEE3CMXT3996,OS-61649637,46112,FLEJE DE ACERO 5/8   CAJA 30 METROS C/U,Miselaneo,Soporte,RCE 3,"Mala Instalación Unifibra (En Tensor, FO Ahorcada, Trayectoria)",254.2,254.2,COA_4
33788978,0200270202,RE29,0026,10,RCEE3CMXT1635,OS-61649808,46112,GRAPA P/CABLE TELEFONICO REDONDO BCO,Miselaneo,Empresarial,RCE 3,Asesoría uso servicio de Telefonía,9.07,90.7,COA_3
33788978,0200270202,RE29,0026,2,RCEE3CMXT1635,OS-61649808,46112,TENSOR PARA ACOMETIDA,Miselaneo,Empresarial,RCE 3,Asesoría uso servicio de Telefonía,5.97,11.94,COA_3
33788978,0200270202,RE29,0026,2,RCEE3CMXT1635,OS-61649808,46112,CONECTOR PREPULIDO 250UM,Conector  SC,Empresarial,RCE 3,Asesoría uso servicio de Telefonía,19.13,38.26,COA_3
33788978,0200270202,RE29,0026,142,RCEE3CMXT1635,OS-61649808,46112,UNIFIBRA OPTICA DROP,Fibra Optica Carrete,Empresarial,RCE 3,Asesoría uso servicio de Telefonía,3.13,444.46,COA_3
33789179,0142165348,RE29,0712,200,RCEE3CMXT5361,OS-61650014,46112,UNIFIBRA OPTICA DROP,Fibra Optica Carrete,Soporte,RCE 3,"Mala Instalación Unifibra (En Tensor, FO Ahorcada, Trayectoria)",3.13,626,COA_6
33789179,0142165348,RE29,0712,2,RCEE3CMXT5361,OS-61650014,46112,CONECTOR PREPULIDO 250UM,Conector  SC,Soporte,RCE 3,"Mala Instalación Unifibra (En Tensor, FO Ahorcada, Trayectoria)",19.13,38.26,COA_6
33789511,0142380958,VH05,0026,1,VOHM3CX2T0117,OS-61650323,46112,CONECTOR PREPULIDO 250UM,Conector  SC,Soporte,VOHEMA 3,Falla Conector Prepulido,19.13,19.13,COA_7
